Date,Open,High,Low,Close,Volume,SMA (fast),SMA (middle),SMA (slow),RSI (slow),RSI (middle),RSI (fast),K,D,J,OBV,BIAS (slow),BIAS (middle),BIAS (fast)
1993-01-29,24.62612799051645,24.62612799051645,24.503609940812392,24.608625411987305,1003200,,,,,,,,,,0,,,
1993-02-01,24.62612435373209,24.783647537231445,24.62612435373209,24.783647537231445,480500,,,,,,,,,,480500,,,
1993-02-02,24.76615604672153,24.85366896561454,24.713648295385724,24.836166381835938,201300,,,,,,,,,,681800,,,
1993-02-03,24.871164141007217,25.116200240918616,24.85366156244212,25.09869766235352,529400,,,,,,,,,,1211200,,,
1993-02-04,25.186225133472018,25.256235488255815,24.90618371433682,25.20372772216797,531500,24.906172943115234,,,,,,,,,1742700,,,1.194702934619217
1993-02-05,25.18620491027832,25.23871263420524,25.04618431313987,25.18620491027832,492100,25.021688842773436,,,,,97.13971705397395,,,,1250600,,,0.6574938587824317
1993-02-08,25.18620491027832,25.27371778348985,25.15119976099371,25.18620491027832,596100,25.102200317382813,,,,,97.13971705397395,,,,1250600,,,0.3346503168383031
1993-02-09,25.09869949896073,25.09869949896073,24.95867886019387,25.011186599731445,122100,25.137204360961913,,,,,68.57093931940597,,,,1128500,,,-0.5013197148771789
1993-02-10,25.011179390193533,25.06368711459562,24.94116909099075,25.04618453979492,379600,25.126701736450194,,,,,67.645607107601,70.4543661178855,70.4543661178855,70.45436611788548,1508100,,,-0.32044475036877934
1993-02-11,25.08119020342661,25.27371853018006,25.08119020342661,25.168703079223636,19500,25.119696807861327,25.01293487548828,,,,57.6914210991756,74.89749612111545,71.93540945229549,80.82166945875537,1527600,,0.6227506068790141,0.1950910145817214
1993-02-12,25.133696568789144,25.133696568789144,24.976173400878903,24.976173400878903,42500,25.077690505981444,25.04968967437744,,,,29.03062515818789,65.55619883750687,69.80900591403261,57.05058468445537,1485100,,-0.29348177344382365,-0.40481042334551376
1993-02-16,24.90616705844421,24.90616705844421,24.31107944074421,24.34608459472656,374800,24.909666442871092,25.005933380126955,,,42.57427238151749,13.6359808663004,44.916257101049105,61.51142297637145,11.725925350404424,1110300,-2.437319235976244,-2.63876886885094,-2.2625025888527106
1993-02-17,24.346089158641348,24.381094319185767,24.2410736770081,24.32858657836914,210900,24.773146438598634,24.955175399780273,,,42.15698948396316,13.432508087904225,32.76905035407268,51.930632102271865,-5.554113142325676,899400,-2.4161818005543223,-2.510857212474851,-1.7945232000761577
1993-02-18,24.608620898340828,24.608620898340828,23.978528186861265,24.31107711791992,378100,24.626124954223634,24.876413345336914,,,35.48405996130846,15.516687428484644,30.404593649607282,44.75528595138368,1.7032090460544964,521300,-2.3321377510068557,-2.2725793287357807,-1.2793236324811303
1993-02-19,24.31107721096132,24.398590087890625,24.2760720601896,24.398590087890625,34900,24.47210235595703,24.79589958190918,,,36.84185169380714,19.672180934686963,31.080544235810365,40.19703871285924,12.847555281712616,556200,-1.836757877307207,-1.6023193379458056,-0.30039212404859483
1993-02-22,24.468592858467893,24.521100568464608,24.39858257847228,24.4860954284668,513600,24.374086761474608,24.725888633728026,,,29.411538461538655,16.948557728716395,33.78323666384127,38.05910469651992,25.231500598483976,1069800,-1.2819381717463016,-0.9698062173350122,0.45953995359215694
1993-02-23,24.55611602090118,24.573618598250363,24.346085092711007,24.468603134155277,373700,24.39859046936035,24.65412845611572,,,23.74919119199616,20.40775476888996,35.13484567982663,37.084351690955486,31.235833657568918,696100,-1.1082199420617878,-0.7525121899590926,0.28695372744113423
1993-02-24,24.48610374617711,24.783647537231445,24.48610374617711,24.783647537231445,26300,24.489602661132814,24.631374549865722,,,38.14414689717477,90.32373734000336,44.1439776526125,39.43756034484116,53.55681226815517,722400,0.3010455010613176,0.6182074291365663,1.200692719140384
