Open_x,High_x,Low_x,Close_x,Adj Close,Volume_x,Open_y,High_y,Low_y,Close_y,Volume_y
963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,998.3250122070312,147775008,197.77706901734567,198.47137038232407,196.7576097507828,197.95285034179688,91366500.0
998.6170043945312,1031.3900146484375,996.7020263671876,1021.75,1021.75,222184992,197.77706901734567,198.47137038232407,196.7576097507828,197.95285034179688,91366500.0
1021.5999755859376,1044.0799560546875,1021.5999755859376,1043.8399658203125,1043.8399658203125,185168000,197.77706901734567,198.47137038232407,196.7576097507828,197.95285034179688,91366500.0
1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,1154.72998046875,344945984,198.2868188615974,199.27992708941463,198.27803515886947,199.13052368164065,78744400.0
1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828124,1013.3800048828124,510199008,198.85807878174,199.13052107530515,198.1637773785582,198.97232055664065,78379000.0
1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,902.2009887695312,351876000,199.08659227720767,200.1587941352956,198.5329105312445,199.6842193603516,71559900.0
903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,908.5850219726562,279550016,199.4205208078041,199.56114049452592,198.9898780460554,199.0250396728516,46939700.0
908.1749877929688,942.7239990234376,887.2490234375,911.198974609375,911.198974609375,158715008,199.4205208078041,199.56114049452592,198.9898780460554,199.0250396728516,46939700.0
913.2440185546876,913.6859741210938,879.8070068359375,902.8280029296876,902.8280029296876,141876992,199.4205208078041,199.56114049452592,198.9898780460554,199.0250396728516,46939700.0
902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,907.6790161132812,115808000,199.0426070760182,199.8950954877009,198.6295451276676,199.0250396728516,63771900.0
908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,777.7570190429688,310928992,198.9371835664863,199.5875396728516,198.2604629405608,199.5875396728516,74650000.0
775.177978515625,826.2459716796875,755.7559814453125,804.833984375,804.833984375,222326000,199.0602138507208,199.27992711104164,197.7067860676467,199.08657836914065,72113200.0
803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,823.9840087890625,168968000,199.26232446346435,199.8511543273821,199.22717624616655,199.54356384277344,62717900.0
825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,818.4119873046875,93063296,198.89324417741588,199.30630620985565,198.44503392125608,198.84051513671875,61240800.0
818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,821.7979736328125,71013600,198.89324417741588,199.30630620985565,198.44503392125608,198.84051513671875,61240800.0
821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,831.5339965820312,82755200,198.89324417741588,199.30630620985565,198.44503392125608,198.84051513671875,61240800.0
830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,907.93798828125,155095008,198.89324417741588,199.30630620985565,198.44503392125608,198.84051513671875,61240800.0
909.3729858398438,917.4990234375,858.3040161132812,886.6179809570312,886.6179809570312,225676992,199.0953726951205,199.32388308059623,198.53290725509655,199.27993774414065,54793300.0
888.3350219726562,904.614013671875,884.3380126953125,899.072998046875,899.072998046875,105625000,199.3590138753592,199.49963357563047,198.10226050604555,198.54168701171875,66608800.0
898.1719970703125,899.3980102539062,887.0079956054688,895.0260009765625,895.0260009765625,86728400,199.23598704932823,199.7720879551074,198.5944280670789,199.27114868164065,129168600.0
895.5490112304688,927.3670043945312,895.5349731445312,921.7890014648438,921.7890014648438,111158000,199.27111214012152,199.332624870038,197.9791972993341,198.7525787353516,75061600.0
922.2050170898438,937.5250244140624,897.5640258789062,924.6729736328124,924.6729736328124,116573000,199.27111214012152,199.332624870038,197.9791972993341,198.7525787353516,75061600.0
925.4990234375,928.2659912109376,916.7379760742188,921.0120239257812,921.0120239257812,73588600,199.27111214012152,199.332624870038,197.9791972993341,198.7525787353516,75061600.0
910.677001953125,924.14501953125,892.2860107421875,892.68701171875,892.68701171875,111349000,198.97231269932269,200.44879270420955,198.85807092893344,200.0269470214844,95555300.0
891.9240112304688,903.2520141601562,891.68701171875,901.5419921875,901.5419921875,120831000,200.99368951009563,201.75830078125,200.82670528524315,201.75830078125,84437700.0
902.39501953125,919.3259887695312,902.2239990234376,917.5859985351562,917.5859985351562,131958000,201.60884549200807,201.88130114965065,201.2660934049043,201.54733276367188,59970700.0
918.3590087890624,923.2230224609376,915.8460083007812,919.75,919.75,125594000,201.6264381688364,201.7758415581365,201.0463920149196,201.23095703125,59711100.0
919.8109741210938,923.9110107421876,919.8109741210938,921.5900268554688,921.5900268554688,68979600,200.527916875378,200.55428139643456,198.98114019570863,199.9830322265625,79737300.0
922.0670166015624,923.4180297851562,919.1480102539062,919.4959716796876,919.4959716796876,60851700,200.527916875378,200.55428139643456,198.98114019570863,199.9830322265625,79737300.0
920.1510009765624,923.0479736328124,919.4739990234376,920.3820190429688,920.3820190429688,78227296,200.527916875378,200.55428139643456,198.98114019570863,199.9830322265625,79737300.0
920.958984375,972.0189819335938,920.958984375,970.4030151367188,970.4030151367188,164582000,199.4820213043418,200.0269192044102,198.90198860009505,199.96539306640625,75880800.0
970.9409790039062,989.114013671875,970.7420043945312,989.0230102539062,989.0230102539062,150110000,199.9654163383973,200.89699834630423,199.44689630157848,200.0445098876953,79117700.0
990.0009765625,1013.52001953125,983.2210083007812,1011.7999877929688,1011.7999877929688,145820992,200.04450983283596,200.46636891610737,199.3414381811812,200.1763458251953,69657600.0
